Node label	Matching Sequences
SRR1572438.markdup.bam	SRR1572438.markdup.bam
	SRR1572348.markdup.bam
	SRR1572382.markdup.bam
	En_Tibi.markdup.bam
	SRR1572243.markdup.bam
	SRR1572309.markdup.bam
	SRR1572314.markdup.bam
	SRR1572326.markdup.bam
	SRR1572328.markdup.bam
	SRR1572338.markdup.bam
	SRR1572372.markdup.bam
	SRR1572379.markdup.bam
	SRR1572393.markdup.bam
	SRR1572402.markdup.bam
	SRR1572416.markdup.bam
	SRR1572418.markdup.bam
	SRR1572421.markdup.bam
	SRR1572431.markdup.bam
	SRR1572433.markdup.bam
	SRR1572435.markdup.bam
	SRR1572437.markdup.bam
	SRR1572442.markdup.bam
	SRR1572480.markdup.bam
	SRR1572524.markdup.bam
	SRR1572530.markdup.bam
	SRR1572541.markdup.bam
	SRR1572575.markdup.bam
	SRR1572621.markdup.bam
	SRR1572630.markdup.bam
	SRR1572632.markdup.bam
SRR1572248.markdup.bam	SRR1572248.markdup.bam
	SRR1572246.markdup.bam
	SRR1572250.markdup.bam
	SRR1572236.markdup.bam
	SRR1572233.markdup.bam
	SRR1572234.markdup.bam
	SRR1572235.markdup.bam
	SRR1572239.markdup.bam
	SRR1572251.markdup.bam
	SRR1572254.markdup.bam
	SRR1572256.markdup.bam
	SRR1572271.markdup.bam
	SRR1572274.markdup.bam
	SRR1572276.markdup.bam
	SRR1572277.markdup.bam
	SRR1572288.markdup.bam
	SRR1572289.markdup.bam
	SRR1572292.markdup.bam
	SRR1572329.markdup.bam
	SRR1572376.markdup.bam
SRR1572330.markdup.bam	SRR1572330.markdup.bam
	SRR1572623.markdup.bam
SRR1572385.markdup.bam	SRR1572385.markdup.bam
	SRR1572397.markdup.bam
SRR1572240.markdup.bam	SRR1572240.markdup.bam
	SRR1572270.markdup.bam
SRR1572249.markdup.bam	SRR1572249.markdup.bam
	SRR1572374.markdup.bam
SRR1572688.markdup.bam	SRR1572688.markdup.bam
	SRR1572689.markdup.bam
