Individual code	Accession	Species	Origin	URL
TS-301	SRX698580	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572438/SRR1572438.1
TS-304	SRX698584	S. lycopersicum var cerasiforme	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572442/SRR1572442.1
TS-68	SRX698622	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572480/SRR1572480.1
TS-127	SRX698666	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572524/SRR1572524.1
TS-135	SRX698672	S. lycopersicum	Chile	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572530/SRR1572530.1
TS-150	SRX698683	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572541/SRR1572541.1
TS-184	SRX698717	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572575/SRR1572575.1
TS-241	SRX698764	S. lycopersicum	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572621/SRR1572621.1
TS-242	SRX698765	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572623/SRR1572623.1
TS-256	SRX698772	S. lycopersicum	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572630/SRR1572630.1
TS-261	SRX698774	S. lycopersicum	Brazil	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572632/SRR1572632.1
TS-146	SRX698827	S. neorickii	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572685/SRR1572685.1
TS-208	SRX698828	S. galapagense	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572686/SRR1572686.1
TS-199	SRX698830	S. cheesmaniae	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572688/SRR1572688.1
TS-207	SRX698831	S. cheesmaniae	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572689/SRR1572689.1
TS-217	SRX698832	S. cheesmaniae	Ecuador	 https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572690/SRR1572690.1
TS-408	SRX698838	S. chilense	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572696/SRR1572696.1
