Individual code	Accession	Origin	URL
TS-106	SRX698504	Costa Rica	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572362/SRR1572362.1
TS-116	SRX698507	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572365/SRR1572365.1
TS-118	SRX698508	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572366/SRR1572366.1
TS-123	SRX698389	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572247/SRR1572247.1
TS-124	SRX698390	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572248/SRR1572248.1
TS-127	SRX698666	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572524/SRR1572524.1
TS-129	SRX698514	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572372/SRR1572372.1
TS-134	SRX698516	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572374/SRR1572374.1
TS-135	SRX698672	Chile	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572530/SRR1572530.1
TS-144	SRX698391	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572249/SRR1572249.1
TS-145	SRX698392	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572250/SRR1572250.1
TS-146	SRX698827	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572685/SRR1572685.1
TS-148	SRX698518	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572376/SRR1572376.1
TS-150	SRX698683	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572541/SRR1572541.1
TS-152	SRX698687	Brazil	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572545/SRR1572545.1
TS-153	SRX698688	Mexico	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572546/SRR1572546.1
TS-154	SRX698520	Mexico	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572378/SRR1572378.1
TS-156	SRX698393	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572251/SRR1572251.1
TS-158	SRX698521	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572379/SRR1572379.1
TS-164	SRX698395	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572253/SRR1572253.1
TS-165	SRX698522	Mexico	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572380/SRR1572380.1
TS-166	SRX698698	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572556/SRR1572556.1
TS-167	SRX698700	Honduras	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572558/SRR1572558.1
TS-181	SRX698524	Mexico	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572382/SRR1572382.1
TS-182	SRX698396	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572254/SRR1572254.1
TS-184	SRX698717	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572575/SRR1572575.1
TS-199	SRX698830	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572688/SRR1572688.1
TS-201	SRX698735	El Salvador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572593/SRR1572593.1
TS-202	SRX698527	Brazil	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572385/SRR1572385.1
TS-207	SRX698831	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572689/SRR1572689.1
TS-208	SRX698828	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572686/SRR1572686.1
TS-217	SRX698832	Ecuador	 https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572690/SRR1572690.1
TS-221	SRX698534	Mexico	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572392/SRR1572392.1
TS-223	SRX698535	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572393/SRR1572393.1
TS-224	SRX698750	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572608/SRR1572608.1
TS-229	SRX698539	Brazil	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572397/SRR1572397.1
TS-233	SRX698543	Mexico	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572401/SRR1572401.1
TS-238	SRX698544	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572402/SRR1572402.1
TS-241	SRX698764	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572621/SRR1572621.1
TS-242	SRX698765	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572623/SRR1572623.1
TS-244	SRX698398	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572256/SRR1572256.1
